age,sexe,taux,situationFamiliale,nbEnfantsAcharge,2eme voiture,immatriculation
47,M,185,Célibataire,0,false,4079 BV 37
20,M,180,En Couple,2,false,2809 QY 82
72,M,1345,En Couple,0,false,4442 WN 19
22,F,548,En Couple,0,false,8711 ZW 81
20,M,479,En Couple,1,false,9225 WC 24
43,M,179,Célibataire,0,false,3929 WJ 64
43,Homme,992,En Couple,4,false,9430 MM 89
27,M,408,En Couple,0,false,8195 XZ 69
55,M,585,En Couple,4,true,6446 EY 91
45,M,710,Célibataire,0,false,2427 WY 11
58,M,195,En Couple,1,false,7503 IL 54
36,M,151,En Couple,3,false,2984 LR 21
40,M,496,En Couple,0,true,4618 VY 42
77,M,975,Célibataire,0,false,7620 QS 72
28,F,425,En Couple,0,false,6225 MG 76
43,F,954,En Couple,2,false,219 XR 37
56,M, ,En Couple,3,false,2442 TW 53
36,F,178,Célibataire,0,false,6409 UI 97
69,M,489,En Couple,0,false,7945 NY 70
53,M,576,Célibataire,0,false,8911 LL 27
30,F,786,Seule,1,false,5561 DB 17
55,F,510,Célibataire,0,false,7215 IX 44
59,M,167,Célibataire,0,false,4644 UF 39
79,M,181,Seule,2,false,9931 CN 22
35,M,429,En Couple,2,false,4822 CY 54
67,F,573,En Couple,4,true,4969 HA 94
56,M,413,En Couple,0,false,6781 KI 62
29,F,947,Seule,1,false,3265 WJ 47
73,M,1028,Célibataire,0,false,747 HN 55
30,M,181,Célibataire,0,false,3948 SV 65
76,M,458,En Couple,0,false,210 LW 42
56,M,545,En Couple,3,false,1159 QM 54
59,M,1111,En Couple,2,false,5910 IF 71
65,M,463,En Couple,1,false,3998 RF 69
68,M,416,En Couple,4,true,8398 AE 48
39,F,202,En Couple,2,false,1776 VP 85
48,M,240,En Couple,4,false,4803 VL 10
28,M,726,En Couple,1,false,8497 AQ 19
40,M,464,Célibataire,0,false,7743 ZJ 86
72,M,958,En Couple,1,false,4499 ZD 79
31,M,473,En Couple,4,true,239 CB 21
62,M,207,En Couple,4,false,8875 AM 59
28,M,1389,En Couple,0,false,7617 LQ 51
18,M,232,En Couple,0,false,8050 WE 36
30,M,495,En Couple,0,false,5830 BM 58
79,F,537,En Couple,0,false,3137 ZQ 14
48,M,1145,En Couple,4,true,2993 GU 74
50,M,174,Célibataire,0,false,6963 KQ 94
24,M,209,Célibataire,0,false,7157 KR 78
24,M,560,Célibataire,0,false,9494 CT 58
26,F,1029,Célibataire,0,false,6762 AK 30
31,M,559,En Couple,2,false,5754 QX 36
36,F,239,En Couple,1,false,4888 OV 60
40,F,1160,En Couple,0,false,6159 AE 75
55,M,1175,Célibataire,0,false,5065 TH 29
30,M,970,En Couple,0,false,4747 YK 37
18,M,745,Célibataire,0,false,5227 WA 86
34,M,1231,En Couple,0,false,1282 FD 82
55,M,993,En Couple,1,false,5388 LN 70
24,M,166,En Couple,2,false,2011 PU 64
54,M,421,Célibataire,0,false,2651 JL 61
60,M,530,En Couple,4,false,8481 VM 98
55,F,564,En Couple,4,true,9853 HG 72
71,M,930,En Couple,1,false,3775 YU 56
38,M,481,En Couple,0,true,2134 QL 31
27,M,525,En Couple,0,false,8386 DC 18
35,M,451,Célibataire,0,false,9083 OF 84
23,F,458,En Couple,2,false,1371 RC 36
49,M,508,Célibataire,0,false,6950 ON 13
38,F,1290,En Couple,2,false,9802 KC 22
66,M,821,En Couple,2,false,609 GO 30
74,M,464,En Couple,1,false,2419 EY 40
37,M,959,Célibataire,0,false,8953 BG 85
60,F,532,Célibataire,0,false,3676 ZP 56
23,M,502,Célibataire,0,false,108 II 45
54,M,1321,En Couple,0,false,29 DM 97
57,M,231,Célibataire,0,false,3947 BE 79
22,F,442,En Couple,1,false,8846 AI 27
19,M,956,Seule,3,false,4920 GQ 48
38,F,196,En Couple,1,false,2811 ID 61
37,M,1218,En Couple,4,false,4521 CB 58
24,M,472,En Couple,0,false,7379 GV 84
47,M,508,En Couple,2,false,1570 AS 97
54,M,232,En Couple,2,false,1572 QT 60
35,M,463,En Couple,0,false,5614 ED 19
36,M,1085,En Couple,0,false,7617 YW 58
77,M,184,En Couple,3,false,2487 VA 91
28,F,531,En Couple,1,false,5404 CQ 13
32,M,1397,Célibataire,0,false,4297 DO 93
34,F,472,En Couple,4,true,4299 UF 43
41,M,1265,Célibataire,0,false,8850 IM 19
24,F,489,En Couple,3,false,278 FZ 60
46,M,1191,Seule,3,false,4500 CB 27
31,F,1100,Célibataire,0,false,3382 JM 74
52,F,497,En Couple,0,true,7537 MU 35
81,M,1185,Célibataire,0,false,2936 OJ 94
40,M,426,En Couple,3,true,7310 QA 10
23,M,1358,En Couple,2,false,8728 ZI 52
51,F,1180,Célibataire,0,false,1984 UI 97
24,F,240,En Couple,3,false,9446 AA 45
20,M,224,En Couple,2,false,3841 KR 33
20,M,591,En Couple,3,false,211 XG 84
39,F,855,En Couple,0,true,7451 EI 49
40,F,883,Célibataire,0,false,7652 IB 89
40,M,475,Seule,2,false,4075 GE 98
50,F,172,En Couple,4,false,7934 BO 79
27,M,577,Célibataire,0,false,6111 FC 10
19,F,165,En Couple,3,false,7416 JK 58
38,M,183,En Couple,4,false,6856 EU 75
53,F,1288,Seule,3,false,4459 IY 41
21,M,1346,En Couple,2,false,8728 LM 26
81,M,540,Seule,1,false,1572 NP 43
70,F,236,Célibataire,0,false,3541 BP 36
26,F,795,Célibataire,0,false,769 OV 38
68,M,476,En Couple,1,false,2884 HX 75
40,M,476,En Couple,4,false,4031 FT 96
18,M,435,Seule,2,false,446 MZ 84
45,M,403,Célibataire,0,false,5346 ZX 85
24,M,228,En Couple,2,false,109 ZF 18
31,M,578,En Couple,0,false,3661 DC 10
21,M,417,En Couple,2,false,3583 VH 49
30,F,442,En Couple,2,false,9189 WM 56
41,Homme,553,En Couple,0,false,2642 IN 68
36,M,505,Célibataire,0,false,3841 XK 82
77,M,470,En Couple,2,false,2534 HF 20
24,M,248,Célibataire,0,false,8668 PR 54
39,M,730,En Couple,3,false,3038 QL 81
43,M,463,En Couple,0,true,49 BP 36
46,M,455,En Couple,4,false,7950 BP 77
53,M,923,En Couple,2,true,6782 AV 38
22,M,536,Célibataire,0,false,2141 RE 22
32,M,554,En Couple,2,false,7985 WU 46
39,F,470,En Couple,1,false,5828 IE 16
40,Femme,568,En Couple,4,false,8989 CW 88
49,M,474,Célibataire,0,false,2926 DX 13
50,M,480,Célibataire,0,false,214 KW 77
40,M,209,En Couple,0,false,3110 OY 24
54,M,529,En Couple,0,false,1280 MU 46
53,F,523,En Couple,4,true,7643 HL 28
67,M,480,En Couple,4,true,9171 YP 38
80,M,949,Seule,1,false,9566 PW 77
43,M,213,En Couple,4,false,1577 IR 31
23,M,474,Seule,2,false,2225 PR 44
68,M,928,En Couple,4,false,8094 IR 48
52,M,507,En Couple,4,false,474 MG 47
84,M,747,En Couple,3,true,2879 DL 54
84,M,786,En Couple,2,false,9773 YY 73
29,M,468,Célibataire,0,false,3451 VK 70
70,F,176,En Couple,0,false,3205 SO 40
65,M,528,Célibataire,0,false,3636 DN 14
48,F,150,Seule,2,false,1724 WP 32
53,F,443,En Couple,2,false,3631 EP 70
45,M,512,En Couple,0,true,6894 DH 25
41,F,552,Célibataire,0,false,8559 MN 67
45,M,460,En Couple,3,false,7530 EX 66
69,M,1109,Célibataire,0,false,4269 MJ 85
25,F,412,En Couple,1,true,7296 PY 54
18,M,1188,En Couple,2,false,6099 TQ 62
28,M,425,En Couple,2,false,2579 TM 56
57,F,482,En Couple,2,false,6539 GL 72
23,M,401,Célibataire,0,false,3239 ST 35
36,M,167,En Couple,4,false,8564 RT 27
42,F,512,En Couple,0,false,4867 XH 71
29,M,503,Seule,2,false,3309 OL 34
55,M,521,En Couple,2,false,7921 LU 11
62,M,564,En Couple,0,false,5784 QL 94
66,F,538,En Couple,0,false,9401 CK 66
41,M,1242,En Couple,2,false,2392 MG 10
28,M,195,Célibataire,0,false,4761 FI 47
55,F,524,En Couple,3,false,7938 HQ 81
24,M,440,Célibataire,0,false,6431 EQ 24
64,M,1206,Célibataire,0,false,3487 JP 57
39,M,1064,En Couple,0,false,6684 HP 92
19,M,1310,Célibataire,0,false,5288 LH 27
29,M,747,Célibataire,0,false,6786 ZH 59
21,M,735,Célibataire,0,false,8104 SC 44
43,M,419,En Couple,3,false,7783 LZ 26
19,M,241,Célibataire,0,false,1981 CK 93
53,M,933,Célibataire,0,false,6000 MI 98
83,M,171,En Couple,3,true,6167 XC 55
30,M,460,En Couple,0,true,6854 XW 81
27,M,448,En Couple,1,false,8775 DF 88
75,F,851,En Couple,4,false,9603 JJ 32
22,M,195,En Couple,1,true,7969 EG 24
31,M,455,Célibataire,0,false,3717 NC 13
60,F,442,En Couple,3,true,2298 CQ 82
51,M,941,En Couple,3,false,6650 HE 84
61,M,512,En Couple,1,true,2281 NZ 77
42,M,1270,En Couple,0,false,4226 BG 79
52,M,540,En Couple,3,false,8073 CR 50
44,M,978,En Couple,0,false,368 SU 59
39,F,509,En Couple,2,false,7333 AP 33
22,F,1013,En Couple,0,false,3865 NY 49
28,Femme,1335,Seule,1,false,7707 PH 23
44,M,459,En Couple,0,true,930 XS 25
58,F,563,En Couple,2,false,3081 CE 12
84,M,402,En Couple,2,false,6853 UB 81
69,M,494,En Couple,1,false,9395 EO 63
38,F,501,Célibataire,0,false,380 VV 49
31,F,159,Célibataire,0,false,2106 HZ 31
